bathrooms,bedrooms,city,homeStatus,homeType,latitude,livingArea,longitude,price,state,streetAddress,zipcode,zpid
1.0,3.0,Brooklyn,FOR_SALE,CONDO,40.678696,0.0,-73.97041,1195000.0,NY,182 Saint Marks Ave APT 2,11238,82829651
2.0,3.0,Brooklyn,FOR_SALE,CONDO,40.687553,1117.0,-73.99914,1295000.0,NY,138 Baltic St APT 4C,11201,116169447
1.0,3.0,Whitestone,FOR_SALE,CONDO,40.78385,0.0,-73.8007,370000.0,NY,16-22 163rd St #6-348,11357,2056468088
1.0,2.0,Brooklyn,FOR_SALE,CONDO,40.671,0.0,-73.9854,695000.0,NY,322 6th St APT 5,11215,123849376
3.0,6.0,Woodside,FOR_SALE,MULTI_FAMILY,40.74095,2587.0,-73.89264,1288000.0,NY,44-10 72nd St #PENTHOUSE,11377,451006480
12.0,9.0,New York,FOR_SALE,TOWNHOUSE,40.77723,20000.0,-73.96277,49950000.0,NY,4 E 80th St,10075,31540062
3.0,4.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.526817,3190.0,-74.20071,899000.0,NY,5780 Amboy Rd,10309,32367645
7.0,5.0,New York,FOR_SALE,CONDO,40.758244,9191.0,-73.96127,65000000.0,NY,430 E 58th St #PENTHOUSE 80,10022,441781042
3.0,5.0,Brooklyn,FOR_SALE,SINGLE_FAMILY,40.659134,1824.0,-73.89396,770000.0,NY,699 Alabama Avenue,11207,55677264
3.0,3.0,New York,FOR_SALE,CONDO,40.782757,0.0,-73.97588,1825000.0,NY,110 W 80th St #4FR,10024,450783887
4.0,5.0,Staten Island,FOR_SALE,MULTI_FAMILY,40.606213,2032.0,-74.143684,1250000.0,NY,679 Collfield Ave,10314,32292033
2.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.595116,1020.0,-74.07467,699888.0,NY,100 Bionia Ave,10305,32325709
2.0,4.0,Flushing,FOR_SALE,MULTI_FAMILY,40.756836,0.0,-73.78772,1098000.0,NY,4336 194th St,11358,32049096
2.0,3.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.566,1152.0,-74.15297,699000.0,NY,39 Troy St,10308,145558350
1.0,2.0,Brooklyn,FOR_SALE,CONDO,40.60069,920.0,-73.93341,270000.0,NY,2265 Gerritsen Ave APT 4D,11229,245045957
10.0,8.0,New York,FOR_SALE,TOWNHOUSE,40.782703,15950.0,-73.958565,38000000.0,NY,9 E 88th St,10128,31540731
7.0,7.0,New York,FOR_SALE,CONDO,40.772373,5516.0,-73.95617,24700000.0,NY,255 E 77th St UNIT PHB,10075,446735693
5.0,4.0,New York,FOR_SALE,CONDO,40.767,3703.0,-73.97974,39000000.0,NY,220 Central Park S APT 32A,10019,321906043
1.0,0.0,New York,FOR_SALE,CONDO,40.79473,0.0,-73.93507,96400.0,NY,424 E 115th St APT 3C,10029,345380900
2.0,2.0,New York,FOR_SALE,CONDO,40.776314,0.0,-73.94534,499000.0,NY,519 E 87th St APT C,10128,72540383
2.0,3.0,Bayside,FOR_SALE,CONDO,40.787586,0.0,-73.787994,799000.0,NY,1328 Robin Lane #67U,11360,450356309
3.0,6.0,Brooklyn,FOR_SALE,SINGLE_FAMILY,40.714478,2829.0,-73.963524,2250000.0,NY,94 S 1st St #11249,11249,450286636
2.0,3.0,Staten Island,FOR_SALE,TOWNHOUSE,40.59565,1571.0,-74.15924,648000.0,NY,14 Grissom Ave,10314,32308857
1.0,2.0,Bronx,FOR_SALE,CONDO,40.834866,900.0,-73.884735,150000.0,NY,1670 Longfellow Avenue #2A,10460,303962849
1.0,2.0,Bronx,FOR_SALE,CONDO,40.892094,950.0,-73.85608,169000.0,NY,740 E 232nd Street #1F,10466,439920400
4.0,3.0,Brooklyn,FOR_SALE,SINGLE_FAMILY,40.579136,2160.0,-73.93825,1600000.0,NY,164 Oxford St,11235,30791362
1.0,3.0,Brooklyn,FOR_SALE,CONDO,40.63736,1045.0,-74.02722,480000.0,NY,231 68th St APT 302,11220,30691658
2.0,3.0,Brooklyn,FOR_SALE,MULTI_FAMILY,40.6212,0.0,-73.92685,699900.0,NY,5004 Avenue M,11234,30764415
1.0,3.0,Jamaica,FOR_SALE,SINGLE_FAMILY,40.71184,1248.0,-73.76108,599000.0,NY,94-72 199 Street,11423,32153595
5.0,7.0,Brooklyn,FOR_SALE,MULTI_FAMILY,40.598667,2695.0,-74.000114,1399000.0,NY,2115 Cropsey Ave,11214,30714308
13.0,9.0,New York,FOR_SALE,TOWNHOUSE,40.766876,14400.0,-73.970085,54000000.0,NY,12 E 64th St,10065,31533422
2.0,6.0,Staten Island,FOR_SALE,SINGLE_FAMILY,40.619873,1474.0,-74.08226,753000.0,NY,101 Laurel Ave,10304,32285279
4.0,4.0,Staten Island,FOR_SALE,MULTI_FAMILY,40.5643,1536.0,-74.142784,685000.0,NY,21 Luke Court,10306,32340553
2.0,3.0,Bronx,FOR_SALE,SINGLE_FAMILY,40.869156,1890.0,-73.856026,680000.0,NY,2959 Laconia Avenue,10469,29824164
4.0,6.0,Flushing,FOR_SALE,MULTI_FAMILY,40.77057,1749.0,-73.791046,1298000.0,NY,2902 Jordan St,11358,32058528
4.0,4.0,Staten Island,FOR_SALE,MULTI_FAMILY,40.557095,2285.0,-74.18209,825000.0,NY,51 Erika Loop,10312,145558495
1.0,2.0,Staten Island,FOR_SALE,APARTMENT,40.556507,905.0,-74.16271,359000.0,NY,123 Cortelyou Ave #2-3,10308,450857357
1.0,1.0,New York,FOR_SALE,CONDO,40.764317,950.0,-73.9776,214000.0,NY,100 W 57th St APT 6H,10019,79977952
3.0,7.0,Brooklyn,FOR_SALE,MULTI_FAMILY,40.63981,0.0,-73.96392,1650000.0,NY,421 Marlborough Rd #1,11226,2063222362
9.0,6.0,Staten Island,FOR_SALE,MULTI_FAMILY,40.607117,5880.0,-74.0921,1250000.0,NY,820 Richmond Rd,10304,32323516
2.0,3.0,Bayside,FOR_SALE,CONDO,40.782345,1600.0,-73.780426,549000.0,NY,211-40 18 Avenue #4K,11360,448720964
1.0,1.0,New York,FOR_SALE,CONDO,40.735424,0.0,-74.00092,985000.0,NY,5 Charles St APT 3R,10014,244745920
3.0,3.0,Flushing,FOR_SALE,SINGLE_FAMILY,40.775124,2300.0,-73.74602,1700000.0,NY,350 Park Lane,11363,32092907
